Hotel_Address,Additional_Number_of_Scoring,Review_Date,Average_Score,Hotel_Name,reviewer_nationality,Review_Total_Negative_Word_Counts,Total_Number_of_Reviews,Review_Total_Positive_Word_Counts,Total_Number_of_Reviews_Reviewer_Has_Given,Reviewer_Score,Tags,days_since_review,lat,lng,review
41 Avenue Pierre 1er de Serbie 8th arr 75008 Paris France,62,2/25/2016,8.5,H tel De Sers Champs Elys es Paris, United Kingdom ,0,347,8,1,9.6,"[' Business trip ', ' Solo traveler ', ' Junior Suite ', ' Stayed 1 night ']",525 day,48.8683593,2.3002117,No Negative  The rooms and beds are beautiful 
4 Broad Court Bow Street Covent Garden Westminster Borough London WC2B 5QZ United Kingdom,294,8/11/2016,8.7,Fielding Hotel, United Kingdom ,0,1271,20,2,10.0,"[' Leisure trip ', ' Couple ', ' Double Room ', ' Stayed 1 night ', ' Submitted from a mobile device ']",357 day,51.5139315,-0.1219893,No Negative  Absolutely gorgeous room with helpful and friendly staff I thoroughly recommend staying at this hotel Worth every penny 
15 16 Prince Of Wales Terrace Kensington and Chelsea London W8 5PQ United Kingdom,154,11/26/2015,8.2,Kensington House Hotel, Ireland ,0,689,7,1,8.3,"[' Business trip ', ' Solo traveler ', ' Single Room with Shower ', ' Stayed 2 nights ']",616 day,51.5012329,-0.1859937,No Negative  Convenience to Tube and central London
Via Hoepli 6 Milan City Center 20121 Milan Italy,153,7/10/2016,8.2,Sina De La Ville, United Kingdom ,72,1718,15,10,5.0,"[' Leisure trip ', ' Couple ', ' Superior Double Room ', ' Stayed 4 nights ', ' Submitted from a mobile device ']",389 day,45.465957,9.192297, Our trip did not start well with three moves of room as a smell of raw sewarage was evident in 3 rooms Spoke to the manager who told me its a known problem Just be aware Breakfast is only just adequate Reasonable selection but not really 4 star Rooms quite old and beds sagging Asked for walk in shower but only over bath available which was quite difficult to use   The location was excellent next to the Doumo Helpful staff when asked questions 
Prins Hendrikkade 59 72 Amsterdam City Center 1012 AD Amsterdam Netherlands,493,3/25/2017,8.6,NH Collection Amsterdam Barbizon Palace, Germany ,14,2865,12,4,10.0,"[' Business trip ', ' Solo traveler ', ' Superior Double or Twin Room ', ' Stayed 2 nights ']",131 day,52.3764175,4.9002201, You need to pay for proper wifi speed What is this 1995   Bartender in the lounge bar makes a killer old fashioned 
Cardenal Reig 11 Les Corts 08028 Barcelona Spain,298,9/10/2015,7.7,Senator Barcelona Spa Hotel, Slovakia ,17,3097,8,18,7.5,"[' Business trip ', ' Group ', ' King Room ', ' Stayed 3 nights ']",693 day,41.3777977,2.1135971, we must pay towell in wellness separatly wellness is free only 2 hour in the morning  nice wellness super personal in lobby bar
Mommsengasse 5 04 Wieden 1040 Vienna Austria,68,7/20/2016,8.6,Pakat Suites Hotel, United Kingdom ,40,664,23,1,9.6,"[' Leisure trip ', ' Group ', ' Residence Suite ', ' Stayed 3 nights ']",379 day,48.19183,16.3770876, Nice kitchen with no utilities Would be helpful if some utilities are added No kettle knives forks pot pan ect What is use of self catering without these Surely do not expect every guest to bring their own   Staff very helpful and professional Good location Easy walking distance to Belvedere and Karls Platz Good spread for breakfast Beautiful rooms 
5 Curzon St Westminster Borough London W1J 5HL United Kingdom,431,12/1/2015,7.9,Washington Mayfair Hotel, United Kingdom ,6,1532,8,1,9.2,"[' Leisure trip ', ' Family with older children ', ' Classic Double Room ', ' Stayed 1 night ']",611 day,51.5060237,-0.151078, luke warm shower in morning  Excellent location for shops theatres other attractions
Western Avenue Ealing London W5 1HG United Kingdom,335,8/31/2015,8.5,Crowne Plaza London Ealing, Saudi Arabia ,9,944,7,2,10.0,"[' Leisure trip ', ' Family with young children ', ' Double or Twin Room ', ' Stayed 1 night ']",703 day,51.5403942,-0.3697581, No swimming pool Cocking smell inside hotel   Breakfast staff were very friendly 
9 13 Bloomsbury Street Nr Covent Garden Camden London WC1B 3QD United Kingdom,392,2/26/2016,8.6,Radisson Blu Edwardian Bloomsbury Street, United States of America ,9,1641,2,1,8.3,"[' Business trip ', ' Solo traveler ', ' Standard Double Room ', ' Stayed 4 nights ', ' Submitted from a mobile device ']",524 day,51.517608,-0.1276253, Room bed to small I am 6 3  Location
20 Lavington Street Southwark London SE1 0NZ United Kingdom,804,10/2/2016,9.1,citizenM London Bankside, United Kingdom ,2,3802,4,5,9.6,"[' Leisure trip ', ' Couple ', ' Double Room ', ' Stayed 1 night ', ' Submitted from a mobile device ']",305 day,51.5051507,-0.1004724, Nothing  Quirky friendly fun
Damrak 1 5 Amsterdam City Center 1012 LG Amsterdam Netherlands,973,10/29/2015,8.0,Park Plaza Victoria Amsterdam, Cyprus ,0,4820,8,6,8.3,"[' Leisure trip ', ' Solo traveler ', ' Superior King Room ', ' Stayed 5 nights ']",644 day,52.377278,4.897818,No Negative  Excellent location and fitness centre spa 
69 Vincent Square Westminster Borough London SW1P 2PA United Kingdom,198,4/20/2017,8.2,Grange Rochester Hotel, United Kingdom ,38,1046,18,1,6.7,"[' Leisure trip ', ' Couple ', ' Double Room ', ' Stayed 1 night ', ' Submitted from a mobile device ']",105 day,51.4942654,-0.1366026, Lounge bar area not within hotel Breakfast not included Room too small En suite very small and dated Room too dark with no view Price rather high at 137 50 for back room and no breakfast   Very comfortable beds Decor very dated Room small and rather dark Staff very friendly and helpful 
Roger de Ll ria 17 Eixample 08010 Barcelona Spain,127,1/21/2017,8.9,Hotel mbit Barcelona, Lebanon ,7,1498,7,9,7.9,"[' Business trip ', ' Solo traveler ', ' Comfort Double or Twin Room ', ' Stayed 2 nights ', ' Submitted from a mobile device ']",194 day,41.3907821,2.1717426, They don t have a restaurant  The professional staff at This hotel
34 Norfolk Place Paddington Westminster Borough London W2 1QW United Kingdom,634,6/11/2017,7.9,Norfolk Towers Paddington, Malaysia ,19,4065,13,2,7.1,"[' Leisure trip ', ' Solo traveler ', ' Club Twin Room ', ' Stayed 2 nights ', ' Submitted from a mobile device ']",53 days,51.5162883,-0.1721078, Small narrow rooms and bathrooms No complimentary water in the room Reception check in staff slightly unfriendly   Good location near the Paddington Subway Clean and well kept rooms 
101 Buckingham Palace Road Westminster Borough London SW1W 0SJ United Kingdom,838,12/5/2016,8.4,The Grosvenor, United Kingdom ,16,3274,0,3,5.8,"[' Leisure trip ', ' Group ', ' 3 rooms ', ' Stayed 1 night ']",241 day,51.4956657,-0.1452793, Poor service rooms not ready could not find 50 of the bookings breakfast cold  No Positive
41 54 Buckingham Gate Westminster Borough London SW1E 6AF United Kingdom,1299,7/21/2016,8.7,St James Court A Taj Hotel London, Bahrain ,4,5394,11,1,7.9,"[' Leisure trip ', ' Couple ', ' Classic Double Room ', ' Stayed 5 nights ', ' Submitted from a mobile device ']",378 day,51.4986732,-0.1376867, Limited room service  Very quiet even though full and convenient for central London
Stratton Street Mayfair Westminster Borough London W1J 8LT United Kingdom,581,12/22/2015,8.4,The May Fair Hotel, United Kingdom ,2,1994,11,3,9.6,"[' Leisure trip ', ' Couple ', ' Superior King or Twin Room ', ' Stayed 1 night ', ' Submitted from a mobile device ']",590 day,51.5078943,-0.1436707, Nothing  Better than we expected for the price in fab location
De Passage 90 Noord Holland Zuidoost 1101 AX Amsterdam Netherlands,514,12/6/2015,8.9,Jaz Amsterdam, Belgium ,25,7108,20,10,9.6,"[' Business trip ', ' Solo traveler ', ' Superior Double Room ', ' Stayed 1 night ', ' Submitted from a mobile device ']",606 day,52.314371,4.9388064, A dj was playing music during dinner but way too loud Leaving the restaurant with an aching head was a bit too much   Very nice accommodation they try to approach everything in an innovative way which is nice in most cases 
Nes 49 Amsterdam City Center 1012 KD Amsterdam Netherlands,293,4/18/2017,9.1,Hotel V Nesplein, South Africa ,31,1650,43,3,10.0,"[' Leisure trip ', ' Group ', ' Superior Double or Twin Room ', ' Stayed 3 nights ']",107 day,52.3711037,4.8936787, The amenities has a very masculine smell Maybe something more mild for the ladies Difficult to reach by car while the road works are going on in Rokin street   Excellent location the staff were all friendly and very helpful and friendly Loved the interior of the hotel and restaurant The Lobby restaurant is very well priced and the food is fantastic The hotel is quite expensive but well worth it 
27 33 Harrington Gardens Kensington and Chelsea London SW7 4JX United Kingdom,143,9/27/2015,8.4,Bentley London, United Kingdom ,12,486,2,11,10.0,"[' Leisure trip ', ' Couple ', ' Deluxe King Room ', ' Stayed 1 night ', ' Submitted from a mobile device ']",676 day,51.4928147,-0.1841753, Breakfast was title impersonal and lacking in that extra social touch  Everything
21 Gower Street Camden London WC1E 6HG United Kingdom,122,7/27/2017,7.8,The Academy, United Kingdom ,6,612,11,1,7.9,"[' Leisure trip ', ' Couple ', ' Double Room ', ' Stayed 1 night ', ' Submitted from a mobile device ']",7 days,51.5205441,-0.1308091, Breakfast pastries were disappointing   Staff friendly and hotel comfortable excellent for theatre break 
Diputaci 257 Eixample 08007 Barcelona Spain,221,6/28/2017,8.2,Eurostars Cristal Palace, Switzerland ,41,3046,10,2,6.7,"[' Leisure trip ', ' Family with young children ', ' Double or Twin Room with Extra Bed ', ' Stayed 3 nights ', ' Submitted from a mobile device ']",36 days,41.3897945,2.1660575, The rooms where not exactly clean I asked once to the cleaning person to come back and hover the floor It was not being cleaned and under the beds it was quite dirty The beds were quite confortable tough   The staff there is really friendly and helpful 
26 28 Trebovir Rd Kensington and Chelsea London SW5 9NJ United Kingdom,328,11/23/2016,7.5,Mayflower Hotel Apartments, United Kingdom ,51,2197,10,2,5.8,"[' Leisure trip ', ' Couple ', ' Executive Double Room ', ' Stayed 2 nights ', ' Submitted from a mobile device ']",253 day,51.4916677,-0.1947475, Was given a nice twin room but paid for an executive suite This wasn t a executive space It was a very small room with twin beds put together that were not confitbale at all It felt like we were on twin beds and not an executive double bed   In a very good location clean welcoming staff 
Avenida Meridiana 151 Sant Mart 08026 Barcelona Spain,541,5/2/2017,7.9,Catalonia Atenas, Slovenia ,9,6792,0,1,7.5,"[' Leisure trip ', ' Family with young children ', ' Double or Twin Room ', ' Stayed 5 nights ', ' Submitted from a mobile device ']",93 days,41.4110056,2.1866009, The view from the hotel is great  No Positive
Nieuwezijdskolk 19 Amsterdam City Center 1012 PV Amsterdam Netherlands,538,7/4/2017,8.2,Inntel Hotels Amsterdam Centre, Indonesia ,2,3342,24,6,9.2,"[' Leisure trip ', ' Couple ', ' City Twin Room with Surprise Package ', ' Stayed 1 night ', ' Submitted from a mobile device ']",30 days,52.3760456,4.8943917, None  Staff s hospitality location close to any touristy places and central station I would be surely coming back to this hotel someday 
52 rue Francois 1er 8th arr 75008 Paris France,149,4/12/2016,8.5,H tel Powers, United Kingdom ,44,956,18,5,7.9,"[' Leisure trip ', ' Couple ', ' Superior Double Room ', ' Stayed 1 night ']",478 day,48.8691409,2.3031503, Road noise outside in the early hours and most frustratingly being woken up at 06 00 hrs by the dustmen emptying the bins outside The double glazing totally insufficient to block what must be seen as a regular occurance given its location   Great location easy to reach all the main attractions Friendly staff and clean and tidy accomodation 
3 Place du G n ral Koenig 17th arr 75017 Paris France,429,12/29/2015,7.1,Hyatt Regency Paris Etoile, United Kingdom ,58,3973,14,7,5.4,"[' Leisure trip ', ' Family with older children ', ' 2 rooms ', ' Stayed 4 nights ']",583 day,48.8802782,2.2843852, The staff were mostly unhelpful and not very polite The manager of the hotel was nice enough when we complained about the rooms that they first gave us Fact is they claim to be a 4 star hotel but offer 3 star rooms and it is not acceptable Either lower the prices or raise your standard   The hotel is in a convenient area and the beds are comfortable 
Hendrikje Stoffelstraat 1 Slotervaart 1058 GC Amsterdam Netherlands,757,1/13/2016,8.7,WestCord Fashion Hotel Amsterdam, United Kingdom ,0,5236,28,1,9.6,"[' Leisure trip ', ' Couple ', ' Large Double Room ', ' Stayed 3 nights ']",568 day,52.357655,4.844576,No Negative  Gorgeous hotel with great service from staff Excellent sky bar with fantastic views of Amsterdam Breakfast in hotel was excellent and lots choice to suit everyone 
50 Great Cumberland Place Westminster Borough London W1H 7FD United Kingdom,133,1/9/2017,9.1,The Arch London, United Kingdom ,0,521,12,11,9.6,"[' Leisure trip ', ' Couple ', ' Deluxe Double or Twin Room ', ' Stayed 2 nights ']",206 day,51.5159214,-0.1598794,No Negative  Convenient location quiet room and extremely friendly and helpful staff 
Mallorca 216 Eixample 08008 Barcelona Spain,98,6/6/2016,8.5,Hotel Balmes, Spain ,0,931,26,1,9.6,"[' Leisure trip ', ' Couple ', ' Executive Double or Twin Room ', ' Stayed 3 nights ', ' Submitted from a mobile device ']",423 day,41.3910621,2.1593373,No Negative  Staff were very pleasant and very helpful Room was amazing bed was so big and comfy Clean all around couldn t recommend it any more
152 Cricklewood Broadway Cricklewood London NW2 3ED United Kingdom,512,12/10/2015,8.0,Clayton Crown Hotel London, Netherlands ,67,2491,27,1,5.8,"[' Leisure trip ', ' Solo traveler ', ' Deluxe Double Room ', ' Stayed 1 night ', ' Submitted from a mobile device ']",602 day,51.5561548,-0.2141824, Tv remote didnt work consistently Bathroom taps ultra modern nice looking but impractical to grasp with wet hands Shower temp control from very warm to hot only no cooler temps Cleanliness could be improved floor tiles bathroom water stained marked shower nozzle full of lime scale some mould tile grouting missing around bath bath itself bit dusty carpet bedroom bit gritty under barefoot mattress stained   Nicely decorated room with comfortable bed and good lighting Pub inside next door beautiful old architecture beautifully restored decorated open fireplace plus xmas deco perfect 
Wrights Lane Kensington and Chelsea London W8 5SP United Kingdom,1172,8/2/2016,7.8,Holiday Inn London Kensington, United Kingdom ,59,5945,3,1,7.5,"[' Leisure trip ', ' Couple ', ' Standard Double Room ', ' Stayed 2 nights ']",366 day,51.499981,-0.1928791, Rooms very small and pictured on the website to convey the contrary I am not a tall person but this resulted in feet hanging off the end of the bed Also not enough room for two people in the double bed The rooms by the elevators are quite noisy especially with doors slamming all through the night   Excellent location
Sloane Square Kensington and Chelsea London SW1W 8EG United Kingdom,279,6/13/2017,8.2,Sloane Square Hotel, Australia ,45,1140,16,7,7.5,"[' Leisure trip ', ' Couple ', ' Superior Double Room ', ' Stayed 2 nights ']",51 days,51.4927325,-0.1573708, Hotel a bit too expensive but maybe bad timing as it was a Bank Holiday long weekend and the Chelsea Garden Show was happening Our last 2 nights in the UK it was just too busy and a bit up market for us   Very central to everything staff were lovely and friendly Room comfortable and very clean 
30 Barkston Gardens Kensington and Chelsea London SW5 0EN United Kingdom,137,3/15/2017,8.6,Henley House Hotel, Bangladesh ,35,1179,10,3,7.9,"[' Business trip ', ' Family with young children ', ' Deluxe Twin Room ', ' Stayed 2 nights ', ' Submitted from a mobile device ']",141 day,51.4922348,-0.1914229, 1 We were provided room in the basement first when we wanted to move out we were given a room on 3rd floor 2 Bathroom is too small so is the lift claustrophobic feeling  The room size was good so was breakfast 
4 Portal Way Gypsy Corner A40 London W3 6RT United Kingdom,401,10/25/2016,8.1,Holiday Inn London West, United Kingdom ,0,1500,14,1,10.0,"[' Leisure trip ', ' Family with young children ', ' Double Room with Sofa Bed ', ' Stayed 1 night ', ' Submitted from a mobile device ']",282 day,51.5210117,-0.2628618,No Negative  My family all sleeping in the same room and being very comfortable 
Piazza Giuseppe Missori 1 Milan City Center 20123 Milan Italy,301,8/28/2016,8.4,Hotel Dei Cavalieri, United Arab Emirates ,30,3445,0,3,7.5,"[' Leisure trip ', ' Family with older children ', ' Triple Room ', ' Stayed 7 nights ']",340 day,45.4608547,9.1886179, in the breakfast stranger can get in and actually stole my wife bag in the morning how the hotel allow stranger to enter the restaurant without check and control No Positive
La Rambla 22 24 Ciutat Vella 08002 Barcelona Spain,223,3/21/2017,8.2,Eurostars Ramblas, Greece ,21,1878,5,1,7.9,"[' Leisure trip ', ' Couple ', ' Double or Twin Room ', ' Stayed 3 nights ']",135 day,41.3780983,2.1762005, We asked for a quiet room Although the room had double double glazing there is constant noise at the Ramblas  The location good hotel
58 Shepherds Bush Green Hammersmith and Fulham London W12 8QE United Kingdom,690,4/3/2017,8.6,Dorsett Shepherds Bush, United Kingdom ,7,2890,8,2,7.9,"[' Leisure trip ', ' Group ', ' Dorsett Double Room ', ' Stayed 1 night ']",122 day,51.5039399,-0.2244232, Glass between room and toilet   Lovely staff beautiful and comfortable room 
Oosterdoksstraat 4 Amsterdam City Center 1011 DK Amsterdam Netherlands,803,7/22/2017,8.4,DoubleTree by Hilton Amsterdam Centraal Station, United Kingdom ,0,3911,9,3,10.0,"[' Leisure trip ', ' Couple ', ' Queen Guest Room ', ' Stayed 2 nights ', ' Submitted from a mobile device ']",12 days,52.376752,4.904618,No Negative  Fantastic location staff very friendly and helpful 
21 rue de Dunkerque 10th arr 75010 Paris France,740,1/13/2017,7.4,Mercure Paris Terminus Nord, United States of America ,18,5575,21,2,7.1,"[' Leisure trip ', ' Couple ', ' Standard Room with 2 Single Beds ', ' Stayed 1 night ', ' Submitted from a mobile device ']",202 day,48.8794843,2.3556545, COffee maker would have been more suited I like ice in my drinks And there was none  Staff and bed was real nice COffee maker would have been more suited Need some type of ice on property
1 Waterview Drive Greenwich London SE10 0TW United Kingdom,1258,5/3/2016,9.4,Intercontinental London The O2, United Kingdom ,4,4204,0,7,8.8,"[' Leisure trip ', ' Couple ', ' Superior Double or Twin Room ', ' Stayed 1 night ', ' Submitted from a mobile device ']",457 day,51.5024348,-0.0002497, Queue for breakfast No Positive
5 rue de la Paix 2nd arr 75002 Paris France,25,1/18/2017,8.9,Park Hyatt Paris Vendome, Hong Kong ,5,124,23,3,8.8,"[' Leisure trip ', ' Couple ', ' Park Queen ', ' Stayed 3 nights ', ' Submitted from a mobile device ']",197 day,48.8688155,2.3305236, Lobby was under renovation  Love the birthday surprises hotel arranged for me including room upgrade birthday gifts etc Very thoughtful Location of hotel is also excellent
Matrosengasse 6 8 06 Mariahilf 1060 Vienna Austria,387,2/23/2017,8.1,Leonardo Hotel Vienna, Czech Republic ,10,6373,4,1,7.5,"[' Business trip ', ' Solo traveler ', ' Comfort Double or Twin Room ', ' Stayed 1 night ']",161 day,48.1945297,16.340327, There was no hot water at the shower   The location 
41 boulevard Saint Michel 5th arr 75005 Paris France,73,8/15/2015,9.1,Hotel le Lapin Blanc, United Kingdom ,4,619,16,6,10.0,"[' Leisure trip ', ' Couple ', ' Adjacent Rooms ', ' Stayed 2 nights ', ' Submitted from a mobile device ']",719 day,48.8491801,2.3423357, No issues   Very nice friendly staff clean comfy beds modern hotel centre of evrything you need 
Valencia 157 Eixample 08011 Barcelona Spain,230,7/5/2016,8.2,Sunotel Club Central, Switzerland ,4,2836,0,5,6.7,"[' Business trip ', ' Solo traveler ', ' Basic Double Room ', ' Stayed 1 night ']",394 day,41.38793,2.1568061, Super noisy  No Positive
Karl Popper Stra e 22 10 Favoriten 1100 Vienna Austria,174,11/22/2015,8.8,Hotel Schani Wien, Israel ,2,2464,12,1,10.0,"[' Leisure trip ', ' Solo traveler ', ' Double or Twin Room with Courtyard View ', ' Stayed 2 nights ', ' Submitted from a mobile device ']",620 day,48.1824271,16.3808291, Nothing  Unique and very modern hotel Lovely design very homey feeling 
Nieuwezijds Voorburgwal 67 Amsterdam City Center 1012 RE Amsterdam Netherlands,440,2/23/2016,8.9,INK Hotel Amsterdam MGallery by Sofitel, United Kingdom ,37,2574,6,1,7.1,"[' Leisure trip ', ' Couple ', ' Superior King Room ', ' Stayed 4 nights ']",527 day,52.3754926,4.8929878, There are no cupboards in the room just a small wardrobe so nowhere to put clothes we lived out of our suitcases which sat on the floor or fixed seating limiting the space you have   The location is very good
3 rue de Bourgogne 7th arr 75007 Paris France,75,6/2/2016,8.9,H tel Bourgogne Montana by MH, Australia ,7,545,0,4,8.3,"[' Leisure trip ', ' Couple ', ' Executive Double or Twin Room La Ravissante ', ' Stayed 3 nights ']",427 day,48.8601927,2.318423, Room Service sandwiches were stale  No Positive
Schottenring 3 01 Innere Stadt 1010 Vienna Austria,416,8/11/2015,8.5,Hotel de France Wien, France ,100,5177,51,1,7.1,"[' Leisure trip ', ' Couple ', ' Superior Double Room ', ' Stayed 4 nights ']",723 day,48.2146623,16.3627994, We did like Bedding not firm enough We asked for a double bed and got twin beds Air conditioning clearly old system that is not appropriate for summer temperatures in Vienna Wifi you have to enter codes that are only valid for 24 hours A code per device The hotel in general is not what we expected of a 5 stars hotel This hotel should have 3 stars maximum and not 5 Furniture is outdated including TV sets and needs to be refreshed Amenities like a pool or a real fitness area are not provided in this hotel   We mainly liked the hotel s location on the ring close to Innere Stadt Museums Quarter the Hofburg and convenient to get to the Belvedere and Schonbrun breakfast very large choice of food and good quality we were upgraded to a bigger room This room was spacious and comfortable 
